ID	year	source	details
r152424	1863	Conspect. Diatom. Dan.:	50, pl. III: fig. VII
r120488	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 295
r120489	1959	Bot. Mater., Spor. Rast., Bot. Inst. Akad. Nauk SSSR	12: 108, fig. 5
r120490	1927	Occas. Pap. Calif. Acad. Sci.	13: 38, pl. 5: figs. 11, 12
r120491	1829	Voy. Coquille:	216, pl. 24: fig. 2
r120492	1984	Micropaleontology	30: 193, pl. 4: figs. 1-4
r120493	1977	Nova Hedwigia	29: 441, pl. 2: figs. 15-17
r120495	1987	J. Phycol.	23: 248, figs. 8-14
r153348	2017	Phycologia	56: 505, figs. 20-27
r120496	1987	J. Phycol.	23: 351, figs. 15-18
r120497	1987	J. Phycol.	23: 255, figs. 31, 32
r153349	2017	Phycologia	56: 505, figs. 28-34
r133127	2003	J. Phycol.	39: 581
r120500	1993	Phycologia	32: 117, figs. 1-10
r120498	1987	J. Phycol.	23: 255, figs. 34-36
r120499	1987	J. Phycol.	23: 256, figs. 37, 38
r120501	1987	J. Phycol.	23: 251, figs. 19-22, 25, 26
r153350	2017	Phycologia	56: 507, figs. 43-49
r120502	1987	J. Phycol.	23: 253, figs. 23, 24, 27, 28
r120503	1987	J. Phycol.	23: 256, figs. 40-42
r120504	1987	J. Phycol.	23: 258, figs. 44, 45
r155752	2014	J. Nannoplankton Res.	33: 44
r148553	1937	Rabenhorst's Krypt.-Fl. Deutschl., 2.Aufl.,	13(1,3): 448
r148550	1937	Rabenhorst's Krypt.-Fl. Deutschl., 2.Aufl.,	13(1,3): 445
r148551	1937	Rabenhorst's Krypt.-Fl. Deutschl., 2.Aufl.,	13(1,3): 446
r148552	1881	Trans. & Proc. N.Z. Inst.	13: 311, pl. XII: figs. 21-23
r144597	1976	Darwiniana	20: 248, pl. II: fig. 3
r140748	2013	CICIMAR Oceaacute;nides	28: 3
r140805	2013	CICIMAR Oceaacute;nides	28: 4
r140842	2013	CICIMAR Oceaacute;nides	28: 5
r140892	2013	CICIMAR Oceaacute;nides	28: 6
r140935	2013	CICIMAR Oceaacute;nides	28: 7
r140988	2013	CICIMAR Oceaacute;nides	28: 8
r141040	2013	CICIMAR Oceaacute;nides	28: 9
r141090	2013	CICIMAR Oceaacute;nides	28: 10
r141129	2013	CICIMAR Oceaacute;nides	28: 11
r141168	2013	CICIMAR Oceaacute;nides	28: 12
r141218	2013	CICIMAR Oceaacute;nides	28: 13
r141330	2013	CICIMAR Oceaacute;nides	28: 15
r141357	2013	CICIMAR Oceaacute;nides	28: 16
r141260	2013	CICIMAR Oceaacute;nides	28: 14
r141404	2013	CICIMAR Oceaacute;nides	28: 17
r132324	1825	Encycl. M&eacute;th. Hist. Nat. Zooph.:	526, expl. pl. 10: fig. 4
r141451	2013	CICIMAR Oceaacute;nides	28: 18
r141499	2013	CICIMAR Oceaacute;nides	28: 19
r141547	2013	CICIMAR Oceaacute;nides	28: 20
r141591	2013	CICIMAR Oceaacute;nides	28: 21
r120506	1999	Phycologia	38: 109, figs. 1-8
